大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0003	國立臺灣大學	720201	公共衛生學系	D 日	M 碩士	89	0	19	30 臺北市	1 一般
0003	國立臺灣大學	720203	職業醫學與工業衛生研究所	D 日	M 碩士	50	11	14	30 臺北市	1 一般
0003	國立臺灣大學	720215	環境衛生研究所	D 日	M 碩士	34	7	12	30 臺北市	1 一般
0003	國立臺灣大學	720220	流行病學與預防醫學研究所	D 日	M 碩士	86	14	32	30 臺北市	1 一般
0003	國立臺灣大學	720221	健康政策與管理研究所	D 日	M 碩士	81	10	32	30 臺北市	1 一般
0003	國立臺灣大學	720225	健康行為與社區科學研究所	D 日	M 碩士	16	5	0	30 臺北市	1 一般
0003	國立臺灣大學	720301	藥學系	D 日	M 碩士	65	0	23	30 臺北市	1 一般
0003	國立臺灣大學	720305	藥理(暨毒理)(學)研究所	D 日	M 碩士	39	10	18	30 臺北市	1 一般
0003	國立臺灣大學	720308	臨床藥學研究所	D 日	M 碩士	20	7	11	30 臺北市	1 一般
0003	國立臺灣大學	720401	物理治療系	D 日	M 碩士	36	0	15	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	M 碩士	22	0	9	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	M 碩士	80	0	15	30 臺北市	1 一般
0003	國立臺灣大學	720708	醫學檢驗(暨)生物技術學系	D 日	M 碩士	58	0	22	30 臺北市	1 一般
0003	國立臺灣大學	720802	臨床牙醫學研究所	D 日	M 碩士	73	8	20	30 臺北市	1 一般
0003	國立臺灣大學	720806	口腔生物(科學)研究所	D 日	M 碩士	32	7	10	30 臺北市	1 一般
0003	國立臺灣大學	729901	法醫學研究所	D 日	M 碩士	15	7	5	30 臺北市	1 一般
0003	國立臺灣大學	729904	(醫學分子)毒理學研究所	D 日	M 碩士	27	6	9	30 臺北市	1 一般
0003	國立臺灣大學	729909	腦與心智科學研究所	D 日	M 碩士	34	5	15	30 臺北市	1 一般
0003	國立臺灣大學	729914	醫療器材與醫學影像研究所	D 日	M 碩士	15	4	0	30 臺北市	1 一般
0003	國立臺灣大學	760301	(社會政策與)社會工作學系	D 日	M 碩士	58	0	15	30 臺北市	1 一般
0003	國立臺灣大學	810540	運動設施與健康管理學位學程	D 日	M 碩士	12	0	0	30 臺北市	1 一般
0016	國立陽明大學	210717	視覺文化研究所	D 日	M 碩士	12	4	1	30 臺北市	1 一般
0016	國立陽明大學	221103	心智哲學研究所	D 日	M 碩士	14	7	3	30 臺北市	1 一般
0016	國立陽明大學	229916	亞際文化研究學位學程	D 日	M 碩士	2	0	0	30 臺北市	1 一般
0016	國立陽明大學	311018	科技與社會研究所	D 日	M 碩士	22	7	3	30 臺北市	1 一般
0016	國立陽明大學	340901	醫務管理學系	D 日	M 碩士	14	7	11	30 臺北市	1 一般
0016	國立陽明大學	420103	生命科學系	D 日	M 碩士	66	0	26	30 臺北市	1 一般
0016	國立陽明大學	420402	微生物(與)免疫學系	D 日	M 碩士	49	10	20	30 臺北市	1 一般
0016	國立陽明大學	420502	生化暨分子生物研究所	D 日	M 碩士	44	11	26	30 臺北市	1 一般
0016	國立陽明大學	420606	生物(與)醫學資訊學系	D 日	M 碩士	61	10	19	30 臺北市	1 一般
0016	國立陽明大學	521103	生醫光電(工程)研究所	D 日	M 碩士	48	8	19	30 臺北市	1 一般
0016	國立陽明大學	521108	生物醫學工程學系	D 日	M 碩士	86	0	40	30 臺北市	1 一般
